City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ngunguru,NZ,-35.6167,174.5,65.46,90,100,3.36,overcast clouds
80,Yerbogachen,RU,61.2767,108.0108,-3.39,98,100,5.64,overcast clouds
81,Butaritari,KI,3.0707,172.7902,80.64,78,9,5.77,light rain
82,Mata De Sao Joao,BR,-12.5303,-38.2992,85.75,52,96,2.64,overcast clouds
83,Majene,ID,-3.5403,118.9707,78.24,81,100,5.66,overcast clouds
84,Raudeberg,NO,61.9875,5.1352,28.87,38,100,8.81,overcast clouds
85,Moron,AR,-34.6534,-58.6198,78.8,52,6,8.23,clear sky
86,Hun,LY,29.1268,15.9477,81.79,18,2,8.84,clear sky
87,Kavaratti,IN,10.5669,72.642,81.55,69,15,8.43,few clouds
88,Kloulklubed,PW,7.0419,134.2556,83.7,71,41,18.66,scattered clouds
89,Aleksandrovskoye,RU,44.7142,43.0008,38.57,94,26,4.85,scattered clouds
90,Port Elizabeth,ZA,-33.918,25.5701,77.29,69,0,8.05,clear sky
91,Kamaishi,JP,39.2667,141.8833,31.17,71,46,14.97,scattered clouds
92,Cidreira,BR,-30.1811,-50.2056,71.01,73,55,16.13,broken clouds
93,Palasa,IN,18.7667,84.4167,71.92,83,26,3.6,scattered clouds
94,Havre,FR,49.5833,0.3333,44.37,70,0,3.44,clear sky
95,Baykit,RU,61.67,96.37,-8.03,99,100,2.44,overcast clouds
96,Hambantota,LK,6.1241,81.1185,77.34,94,40,2.3,scattered clouds
97,Taoudenni,ML,22.6783,-3.9836,86.99,14,0,5.23,clear sky
98,Naze,JP,28.3667,129.4833,61.72,89,100,18.16,overcast clouds
99,Odweyne,SO,9.4092,45.064,69.71,45,2,17.85,clear sky
100,Calama,CL,-22.4667,-68.9333,70.29,21,0,4.61,clear sky
101,Morondava,MG,-20.2833,44.2833,83.12,70,4,12.68,clear sky
102,Ostrovnoy,RU,68.0531,39.5131,14.16,95,99,6.46,overcast clouds
103,Zharkent,KZ,44.1628,80.0,18.95,67,1,4.23,clear sky
104,Aasiaat,GL,68.7098,-52.8699,17.08,72,96,11.07,overcast clouds
105,Codrington,AU,-38.2667,141.9667,56.46,72,81,14.05,broken clouds
106,Jaypur,IN,18.85,82.5833,70.63,61,25,4.7,scattered clouds
107,Lebu,CL,-37.6167,-73.65,62.67,64,0,18.41,clear sky
108,Paka,MY,4.6374,103.4368,76.98,100,100,0.0,overcast clouds
109,Maniitsoq,GL,65.4167,-52.9,23.59,79,100,9.35,overcast clouds
110,Tasiilaq,GL,65.6145,-37.6368,21.36,56,13,5.06,few clouds
111,Bluff,NZ,-46.6,168.3333,55.44,94,67,3.15,broken clouds
112,Torbay,CA,47.6666,-52.7314,37.58,93,100,20.0,mist
113,Potam,MX,27.6,-110.3833,59.67,31,100,7.72,overcast clouds
114,Upernavik,GL,72.7868,-56.1549,12.38,87,100,14.41,light snow
115,Mar Del Plata,AR,-38.0023,-57.5575,68.83,59,20,12.66,few clouds
116,Whitehorse,CA,60.7161,-135.0538,14.77,67,75,4.61,light snow
117,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,100,13.8,light snow
118,Cayenne,GF,4.9333,-52.3333,84.24,70,100,4.61,light rain
119,Agadez,NE,19.75,10.25,80.92,13,100,4.92,overcast clouds
120,Bonavista,CA,48.6499,-53.1147,35.46,86,100,24.05,overcast clouds
121,Beringovskiy,RU,63.05,179.3167,28.04,77,100,21.23,overcast clouds
122,Faanui,PF,-16.4833,-151.75,79.54,79,100,13.38,light rain
123,Kargil,IN,34.5667,76.1,19.27,58,100,3.09,overcast clouds
124,Tawang,IN,27.5833,91.8667,40.14,84,85,1.1,overcast clouds
125,Saint-Francois,FR,46.4154,3.9054,38.64,65,0,8.05,clear sky
126,Broken Hill,AU,-31.95,141.4333,61.81,33,4,9.15,clear sky
127,Pisco,PE,-13.7,-76.2167,71.65,88,100,8.05,overcast clouds
128,Asmara,ER,15.3333,38.9333,54.48,80,80,7.0,broken clouds
129,Georgetown,MY,5.4112,100.3354,78.73,84,40,0.0,scattered clouds
130,Umm Kaddadah,SD,13.6017,26.6876,81.07,16,60,12.3,broken clouds
131,Knyaze-Volkonskoye,RU,48.4642,135.4567,-4.72,93,26,8.55,scattered clouds
132,Saint Peters,US,38.8003,-90.6265,31.48,61,0,14.97,clear sky
133,Ancud,CL,-41.8697,-73.8203,59.97,57,0,8.19,clear sky
134,Longyearbyen,SJ,78.2186,15.6401,6.64,66,75,6.91,light shower snow
135,Hlubocky,CZ,49.6178,17.3944,29.28,93,100,4.25,overcast clouds
136,North Bend,US,43.4065,-124.2243,41.07,79,0,16.11,clear sky
137,Tautira,PF,-17.7333,-149.15,79.18,77,95,11.72,light rain
138,Avera,US,33.194,-82.5271,45.55,53,0,11.27,clear sky
139,Cairns,AU,-16.9167,145.7667,80.06,85,40,0.0,scattered clouds
140,Gazli,UZ,40.1333,63.45,47.34,46,71,9.51,broken clouds
141,Aykhal,RU,66.0,111.5,-27.42,100,15,3.76,few clouds
142,San Cristobal,VE,7.7669,-72.225,71.78,54,77,6.64,broken clouds
143,Chernyshevskiy,RU,63.0128,112.4714,-37.97,100,63,0.74,broken clouds
144,Hobart,AU,-42.8794,147.3294,52.27,91,75,10.36,broken clouds
145,Resistencia,AR,-27.4606,-58.9839,88.09,41,0,12.66,clear sky
146,Shelburne,CA,44.0787,-80.2041,33.24,99,100,4.03,overcast clouds
147,Quatre Cocos,MU,-20.2078,57.7625,80.71,75,9,12.77,clear sky
148,Aleksandrov Gay,RU,50.147,48.5704,29.26,62,64,6.78,broken clouds
149,Sandwick,GB,60.0,-1.25,35.42,93,40,5.75,light rain
150,Port Hardy,CA,50.6996,-127.4199,35.78,100,100,3.44,overcast clouds
151,Jiazi,CN,22.8779,116.067,60.15,82,100,11.36,overcast clouds
152,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,100,12.1,overcast clouds
153,Podyuga,RU,61.095,40.8647,14.94,95,99,7.85,overcast clouds
154,Kaitangata,NZ,-46.2817,169.8464,53.42,98,76,1.48,broken clouds
155,Agropoli,IT,40.3469,14.9966,68.27,88,100,1.48,overcast clouds
156,Nome,US,64.5011,-165.4064,8.67,66,0,9.22,clear sky
157,Bantry,IE,51.6833,-9.45,42.78,75,100,7.52,overcast clouds
158,Narsaq,GL,60.9167,-46.05,12.42,70,98,5.88,overcast clouds
159,Souillac,MU,-20.5167,57.5167,80.98,61,40,9.22,scattered clouds
160,Bethel,US,41.3712,-73.414,42.67,87,100,12.66,mist
161,Geraldton,AU,-28.7667,114.6,70.21,78,0,14.97,clear sky
162,Kruisfontein,ZA,-34.0033,24.7314,75.34,69,94,8.63,light rain
163,Kamenka,RU,51.3223,42.7678,29.98,96,100,3.89,overcast clouds
164,Jumla,NP,29.2747,82.1838,41.49,35,0,4.97,clear sky
165,Grootfontein,NA,-19.5667,18.1167,76.57,57,40,3.44,light rain
166,Porto Empedocle,IT,37.2934,13.5264,73.31,82,26,9.17,scattered clouds
167,Kahului,US,20.8947,-156.47,74.84,86,20,3.0,light rain
168,Yeppoon,AU,-23.1333,150.7333,73.18,66,10,9.78,clear sky
169,Ucluelet,CA,48.9329,-125.5528,39.65,73,60,3.4,broken clouds
170,Lagoa,PT,39.05,-27.9833,62.58,93,100,16.91,overcast clouds
171,Marsh Harbour,BS,26.5412,-77.0636,78.24,71,0,13.0,clear sky
172,Khatanga,RU,71.9667,102.5,-1.73,95,100,10.8,light snow
173,Plettenberg Bay,ZA,-34.0527,23.3716,70.18,92,58,10.63,heavy intensity rain
174,Saldanha,ZA,-33.0117,17.9442,69.62,81,56,7.29,broken clouds
